organism,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id
Actinonema crataegi,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Spilocaea,Spilocaea crataegi,5,95,183,7446671,8317,2617697,3538087
Actinonema pomi,Fungi,Ascomycota,Dothideomycetes,Venturiales,Venturiaceae,Venturia,Venturia inaequalis,5,95,183,7446671,8317,2560762,5262796
Actinonema rosae,Fungi,Ascomycota,Leotiomycetes,Helotiales,Dermateaceae,Diplocarpon,Diplocarpon rosae,5,95,179,1052,4121,2583540,2583566
Actinopelte castanopsis,Fungi,Ascomycota,Sordariomycetes,Diaporthales,NA,Tubakia,Tubakia castanopsidis,5,95,320,1289,NA,2567329,3446937
Actinopelte dryina,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Melanconidaceae,Dicarpella,Dicarpella dryina,5,95,320,1289,8413,2567047,5253510
Actinopelte japonica,Fungi,Ascomycota,Sordariomycetes,Diaporthales,NA,Tubakia,Tubakia japonica,5,95,320,1289,NA,2567329,2567330
Actinopelte rubra,Fungi,Ascomycota,Sordariomycetes,Diaporthales,NA,Tubakia,Tubakia rubra,5,95,320,1289,NA,2567329,2567334
Actinopelte subglobosa,Fungi,Ascomycota,Sordariomycetes,Diaporthales,NA,Tubakia,Tubakia subglobosa,5,95,320,1289,NA,2567329,2567332
Actinothyrium marginatum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Dothistroma,Dothistroma septosporum,5,95,183,1262,4797,2620719,2621905
Adelopus gaeumannii,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Phaeocryptopus,Phaeocryptopus gaeumannii,5,95,183,1033,4803,2612581,2612582
Adelopus nudus,Fungi,Ascomycota,Dothideomycetes,Dothideales,Dothioraceae,Phaeocryptopus,Phaeocryptopus nudus,5,95,183,1033,4803,2612581,2612586
Aecidium aceris,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium aceris,5,34,270,1126,3251,2513143,3375910
Aecidium anemones,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,NA,5,34,270,1126,3251,2513143,NA
Aecidium annonae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium annonae,5,34,270,1126,3251,2513143,3375315
Aecidium asparagi,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia asparagi,5,34,270,1126,3251,9533895,2515284
Aecidium asperifolii,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia recondita,5,34,270,1126,3251,9533895,9317699
Aecidium avocense,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium avocense,5,34,270,1126,3251,2513143,3375525
Aecidium barbeyi,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia barbeyi,5,34,270,1126,3251,9533895,3376989
Aecidium berberidis,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium berberidis,5,34,270,1126,3251,2513143,7756700
Aecidium brasiliense,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium brasiliense,5,34,270,1126,3251,2513143,3374461
Aecidium bunii,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium bunii,5,34,270,1126,3251,2513143,2514983
Aecidium bupleuri-sachalinensis,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium bupleuri-sachalinensis,5,34,270,1126,3251,2513143,3375490
Aecidium campanulastri,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium campanulastri,5,34,270,1126,3251,2513143,3375289
Aecidium candidum,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo candida,4,32,8179345,1255,4771,2577967,3203258
Aecidium cantense,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium cantense,5,34,270,1126,3251,2513143,3375285
Aecidium cinnamomi,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium cinnamomi,5,34,270,1126,3251,2513143,3374882
Aecidium circumscriptum,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Endophyllum,Endophyllum circumscriptum,5,34,270,1126,3251,2514253,5237045
Aecidium clematidis,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium clematidis,5,34,270,1126,3251,2513143,2514735
Aecidium convallariae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia sessilis,5,34,270,1126,3251,9533895,2515080
Aecidium cornutum,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Gymnosporangium,Gymnosporangium cornutum,5,34,270,1126,3251,2516085,2516126
Aecidium cyrillae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium cyrillae,5,34,270,1126,3251,2513143,3374869
Aecidium daleae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium daleae,5,34,270,1126,3251,2513143,3374764
Aecidium desmodii,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium desmodii,5,34,270,1126,3251,2513143,3375413
Aecidium epilobii,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia pulverulenta,5,34,270,1126,3251,9533895,2514570
Aecidium ervi,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Uromyces,Uromyces ervi,5,34,270,1126,3251,2513550,2515738
Aecidium euphorbiae-gerardianae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium euphorbiae-gerardianae,5,34,270,1126,3251,2513143,3375643
Aecidium ficariae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,NA,5,34,270,1126,3251,2513143,NA
Aecidium fragiforme,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium fragiforme,5,34,270,1126,3251,2513143,3375684
Aecidium fuscum,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Uropyxidaceae,Tranzschelia,Tranzschelia anemones,5,34,270,1126,3248,2516414,2516438
Aecidium glycines,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium glycines,5,34,270,1126,3251,2513143,3374793
Aecidium gossypii,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium gossypii,5,34,270,1126,3251,2513143,3375139
Aecidium guttatum,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Endophyllum,Endophyllum guttatum,5,34,270,1126,3251,2514253,5468558
Aecidium hydrangeae-paniculatae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium hydrangeae-paniculatae,5,34,270,1126,3251,2513143,3375010
Aecidium incarceratum,Fungi,Basidiomycota,Exobasidiomycetes,Doassansiales,Doassansiaceae,Doassansia,Doassansia sagittariae,5,34,151,1136,3268,2513064,2513079
Aecidium ipomoeae-panduratae,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo ipomoeae-panduratae,4,32,8179345,1255,4771,2577967,3203281
Aecidium kaernbachii,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Endophyllum,Endophyllum kaernbachii,5,34,270,1126,3251,2514253,5237050
Aecidium leguminosarum,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Uromyces,Uromyces viciae-fabae,5,34,270,1126,3251,2513550,3381094
Aecidium leucospermum,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Uropyxidaceae,Ochropsora,Ochropsora ariae,5,34,270,1126,3248,2516461,2516464
Aecidium menthae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia menthae,5,34,270,1126,3251,9533895,2514887
Aecidium mirabilis,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium mirabilis,5,34,270,1126,3251,2513143,3375665
Aecidium monocystis,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium monocystis,5,34,270,1126,3251,2513143,2517562
Aecidium mori,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium mori,5,34,270,1126,3251,2513143,9548764
Aecidium nitens,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Phragmidiaceae,Gymnoconia,Gymnoconia nitens,5,34,270,1126,7587,2514287,2516752
Aecidium orobi,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium orobi,5,34,270,1126,3251,2513143,3374856
Aecidium oxalidis,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia sorghi,5,34,270,1126,3251,9533895,2514966
Aecidium pampeanum,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Endophyllum,Endophyllum pampeanum,5,34,270,1126,3251,2514253,5237036
Aecidium passifloricola,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium passifloricola,5,34,270,1126,3251,2513143,3375852
Aecidium pini,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Cronartiaceae,Cronartium,Cronartium pini,5,34,270,1126,3254,2514221,2517474
Aecidium pirolae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,NA,5,34,270,1126,3251,2513143,NA
Aecidium plantaginis,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia cynodontis,5,34,270,1126,3251,9533895,2515004
Aecidium rhododendri,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium rhododendri,5,34,270,1126,3251,2513143,3374692
Aecidium rionegrense,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium rionegrense,5,34,270,1126,3251,2513143,3375109
Aecidium sinorhododendri,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium sinorhododendri,5,34,270,1126,3251,2513143,3374992
Aecidium solaniphilum,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium solaniphilum,5,34,270,1126,3251,2513143,3374931
Aecidium strobilinum,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniastraceae,Pucciniastrum,Pucciniastrum areolatum,5,34,270,1126,7585,2516894,2516915
Aecidium tubulosum,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium tubulosum,5,34,270,1126,3251,2513143,2517560
Aecidium urticae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Aecidium,Aecidium urticae,5,34,270,1126,3251,2513143,8103619
Aecidium valerianellae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia gladioli,5,34,270,1126,3251,9533895,2514797
Aecidium violae,Fungi,Basidiomycota,Pucciniomycetes,Pucciniales,Pucciniaceae,Puccinia,Puccinia violae,5,34,270,1126,3251,9533895,2515392
Aegerita candida,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Bulbillomyces,Bulbillomyces farinosus,5,34,186,1145,3287,2544312,2544313
Agaricus aegerita,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Cyclocybe,Cyclocybe aegerita,5,34,186,1499,4186,7243095,7941167
Agaricus alneus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,Schizophyllum commune,5,34,186,1499,4185,2529580,5241128
Agaricus arvensis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus arvensis,5,34,186,1499,4170,2518646,5243403
Agaricus atramentarius,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis,Coprinopsis atramentaria,5,34,186,1499,4184,6005961,5242740
Agaricus atricapillus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Pluteus,Pluteus cervinus,5,34,186,1499,8447,2526826,7446067
Agaricus aureus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,NA,5,34,186,1499,4170,2518646,NA
Agaricus birnbaumii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Leucocoprinus,Leucocoprinus birnbaumii,5,34,186,1499,4170,2535536,2535598
Agaricus bisporus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus bisporus,5,34,186,1499,4170,2518646,5243447
Agaricus brunnescens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus brunnescens,5,34,186,1499,4170,2518646,5243459
Agaricus caespitosus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Omphalina,Omphalina caespitosa,5,34,186,1499,8787,2519194,8625908
Agaricus citricolor,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Mycenaceae,Mycena,Mycena citricolor,5,34,186,1499,4180,5955261,2527013
Agaricus deliciosus,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,Lactarius deliciosus,5,34,186,1144,7609,2532156,5248629
Agaricus destruens,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hemipholiota,Hemipholiota populnea,5,34,186,1499,4186,7243274,2534168
Agaricus foenisecii,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Panaeolina,Panaeolina foenisecii,5,34,186,1499,8440,2526697,2526698
Agaricus fusipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Gymnopus,Gymnopus fusipes,5,34,186,1499,3305518,2527767,5243758
Agaricus melleus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Armillaria,Armillaria mellea,5,34,186,1499,4182,2526021,2536891
Agaricus molestus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,Agrocybe molesta,5,34,186,1499,4186,2527828,2533127
Agaricus muscarius,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,Amanita muscaria,5,34,186,1499,4171,2526057,8671098
Agaricus nudus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Lepista,Lepista nuda,5,34,186,1499,8787,2532282,5242048
Agaricus olearius,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Omphalotus,Omphalotus olearius,5,34,186,1499,3305518,2525554,2538088
Agaricus ostreatus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus ostreatus,5,34,186,1499,4183,2518610,2526530
Agaricus pediades,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,Agrocybe pediades,5,34,186,1499,4186,2527828,9050242
Agaricus populneus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Hemipholiota,Hemipholiota populnea,5,34,186,1499,4186,7243274,2534168
Agaricus radiatus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus radiatus,5,34,186,1499,4170,2518646,9422358
Agaricus rufotegulis,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,Agaricus subrufescens,5,34,186,1499,4170,2518646,5243460
Agaricus squarrosus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,Pholiota squarrosa,5,34,186,1499,4186,2528397,2534205
Agaricus tigrinus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,NA,5,34,186,1499,4170,2518646,NA
Agaricus velutipes,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Flammulina,Flammulina velutipes,5,34,186,1499,4182,2526827,3341441
Agaricus virosus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,NA,5,34,186,1499,4170,2518646,NA
Agaricus volvaceus,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pluteaceae,Volvariella,Volvariella volvacea,5,34,186,1499,8447,2530192,5241445
Agrocybe aegerita,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,NA,5,34,186,1499,4186,2527828,NA
Agrocybe molesta,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,Agrocybe molesta,5,34,186,1499,4186,2527828,2533127
Agrocybe pediades,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Agrocybe,Agrocybe pediades,5,34,186,1499,4186,2527828,9050242
Albonectria rigidiuscula,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Albonectria,Albonectria rigidiuscula,5,95,320,1290,4152,2564268,2564269
Albugo achyranthis,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo achyranthis,4,32,8179345,1255,4771,2577967,3276410
Albugo aechmantherae,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo aechmantherae,4,32,8179345,1255,4771,2577967,3276447
Albugo amaranthi,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Wilsoniana,Wilsoniana bliti,4,32,8179345,1255,4771,3203242,3203247
Albugo austroafricana,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo austroafricana,4,32,8179345,1255,4771,2577967,3276403
Albugo bliti,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Wilsoniana,Wilsoniana bliti,4,32,8179345,1255,4771,3203242,3203247
Albugo candida,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo candida,4,32,8179345,1255,4771,2577967,3203258
Albugo capparis,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo capparis,4,32,8179345,1255,4771,2577967,3276450
Albugo caryophyllacearum,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo lepigoni,4,32,8179345,1255,4771,2577967,3203276
Albugo centaurii,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Pustula,Pustula centaurii,4,32,8179345,1255,4771,3203292,7869614
Albugo chardineae,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Pustula,Pustula chardiniae,4,32,8179345,1255,4771,3203292,5424239
Albugo chardoni,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo chardonii,4,32,8179345,1255,4771,2577967,3276425
Albugo cruciferarum,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo candida,4,32,8179345,1255,4771,2577967,3203258
Albugo cynoglossi,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo cynoglossi,4,32,8179345,1255,4771,2577967,3276440
Albugo eomeconis,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo eomeconis,4,32,8179345,1255,4771,2577967,3276399
Albugo eurotiae,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo eurotiae,4,32,8179345,1255,4771,2577967,3276426
Albugo evansii,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo evansii,4,32,8179345,1255,4771,2577967,3276428
Albugo evolvuli,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo evolvuli,4,32,8179345,1255,4771,2577967,7258649
Albugo froelichiae,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo froelichiae,4,32,8179345,1255,4771,2577967,3276407
Albugo gomphrenae,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo gomphrenae,4,32,8179345,1255,4771,2577967,3276418
Albugo hydrocotyles,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Pustula,Pustula hydrocotyles,4,32,8179345,1255,4771,3203292,5424238
Albugo hyoscyami,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo hyoscyami,4,32,8179345,1255,4771,2577967,3276398
Albugo ipomoeae-panduratae,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo ipomoeae-panduratae,4,32,8179345,1255,4771,2577967,3203281
Albugo ipomoeae-pes-caprae,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo ipomoeae-pes-caprae,4,32,8179345,1255,4771,2577967,3276437
Albugo lepidii,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo lepidii,4,32,8179345,1255,4771,2577967,3276442
Albugo lepigoni,Chromista,Oomycota,Peronosporea,Albuginales,Albuginaceae,Albugo,Albugo lepigoni,4,32,8179345,1255,4771,2577967,3203276
