"location","lon","lat"
"Samoa",-172.104629,-13.759029
"Solomon islands",160.156194,-9.64571
"Canada Newfoundland",-57.6604364,53.1355091
"Palestine",35.233154,31.952162
"Unknown",-79.6735841,41.6262707
"World Wide",-95.971072,36.153243
"Republic",-94.6202274,37.087343
"South Korea",127.766922,35.907757
"East Africa",37.2972044,1.957709
"Ecuador",-78.183406,-1.831239
"Slovakia",19.699024,48.669026
"Western states",-95.712891,37.09024
"Cape Verde",-23.0418,16.5388
"Central and western states",-149.0729714,62.4113634
"Himalayas",83.9310623,28.5983159
"Northeastern states",-74.2179326,43.2994285
"Oman",55.975413,21.4735329
"Botswana",24.684866,-22.328474
"Burundi",29.918886,-3.373056
"Cook islands",-159.777671,-21.236736
"Mali",-3.996166,17.570692
"Niue",-169.867233,-19.054445
"Reunion",55.536384,-21.115141
"Togo",0.824782,8.619543
"Tonga",-175.198242,-21.178986
"Bosnia and Herzegovina",17.679076,43.915886
"Croatia",15.2000001,45.1
"Macedonia",21.745275,41.608635
"Namibia",18.49041,-22.95764
"Nova Scotia",-63.744311,44.6819866
"Saskatchewan",-106.4508639,52.9399159
"Southern states",-95.712891,37.09024
"Tunisia",9.537499,33.886917
"Wales",-3.7837117,52.1306607
"Benin",2.315834,9.30769
"French Guiana",-53.125782,3.933889
"Saint Vincent",-61.187952,13.2507338
"Suriname",-56.027783,3.919305
"Kurile islands",150.9705378,47.1543981
"North central states",-95.712891,37.09024
"Sakhalin",142.9505689,50.6909848
"Indonesia Indonesia Java",110.7122465,-7.6145292
"Eastern and central states",-73.9114104,42.8063372
"South Asia",76.4563087,25.03764
"Dominica",-61.370976,15.414999
"Grenada",-61.679,12.1165
"Polynesia",-148.3716902,-16.8395019
"Lapland",26.5046438,67.9222304
"South Africa Northern Cape",21.8568586,-29.0466808
"Bangladesh",90.356331,23.684994
"Belize",-88.49765,17.189877
"Southwestern states",-95.3709879,29.5317796
"Saint Lucia",-60.978893,13.909444
"Northwestern states",-93.0977934,31.7487611
"Paraguay",-58.443832,-23.442503
"United States Gulf Coast",-95.2438794,29.656688
"Himalayass",83.9310623,28.5983159
"Tibet",88.7878678,30.1533605
"Central America",-85.6023643,12.7690126
"Falkland islands",-59.523613,-51.796253
"Tierra del Fuego",-68.3242061,-54.8053998
"Galapagos islands",-90.4233344,-0.383106
"South central states",-95.712891,37.09024
"Southeastern states",-75.4268251,40.0707887
"East Indies",115.66283,-2.2179704
"Luxembourg",6.129583,49.815273
"North Africa",25.66283,23.4162027
"South Africa Western Cape",21.8568586,-33.2277918
"West Africa",-2.4604145,13.531665
"Australasia",145.491477,-29.5328037
"Gabon",11.609444,-0.803689
"Vanuatu",166.959158,-15.376706
"Alberta",-116.5765035,53.9332706
"Quebec",-73.5491361,52.9399159
"Senegal",-14.452362,14.497401
"Yemen",48.516388,15.552727
"Ontario",-85.323214,51.253775
"Central Africa",19.5687103,2.3184621
"Carolina",-79.0192997,35.7595731
"Zambia   zim",25.8491833,-17.9263846
"America",-95.712891,37.09024
"Niger",8.081666,17.607789
"Widespread",-96.3922142,32.7861109
"Andorra",1.521801,42.506285
"Central African Republic",20.939444,6.611111
"French Polynesia",-149.406843,-17.679742
"Southeast Asia",115.66283,-2.2179704
"Swaziland",31.465866,-26.522503
"Scandinavia",12.3401709,62.2786475
"Saint Kitts and Nevis",-62.782998,17.357822
"Lesotho",28.233608,-29.609988
"Mauritania",-10.940835,21.00789
"Great Lake states",-82.4846115,45.0522366
"Guadeloupe",-61.551,16.265
"Martinique",-61.024174,14.641528
"Micronesia",150.550812,7.425554
"South Africa Cape Province",21.8568586,-33.2277918
"South Africa Eastern Cape",26.419389,-32.2968402
"South Africa Gauteng",28.1122679,-26.2707593
"South Africa KwaZuluNatal",30.8958242,-28.5305539
"South Africa Mpumalanga",30.5279096,-25.565336
"Jersey",-2.13125,49.214439
"South Africa Unknown",26.6679004,-29.5780491
"Laos",102.495496,19.85627
"British Colombia",-127.6476205,53.7266683
"Indonesia Java",110.7122465,-7.6145292
"Burkina Faso",-1.561593,12.238333
"Andaman islands",92.6586401,11.7400867
"East Asia",106.5348379,38.7945952
"West Germany",10.451526,51.165691
"Gambia",-15.310139,13.443182
"Tai",-95.712891,37.09024
"Dakota",-96.800668,32.7850593
"Nicobar islands",84.1352968,10.3871439
"Tristan da Cunha",-12.2776838,-37.1052489
"Comoro islands",44.2658053,-12.1725323
"East Germany",10.451526,51.165691
"South Africa Northern Province",29.4179324,-23.4012946
"Bahamas",-77.39628,25.03428
"Seychelles",55.491977,-4.679574
"Sao Tome and Principe",6.613081,0.18636
"Palau",134.58252,7.51498
"Canada Nunavut",-83.107577,70.2997711
"Guam",144.793731,13.444304
"Northern Mariana islands",145.6739,15.0979
"Zanzibar",39.3621196,-6.1357295
"Britain",-3.435973,55.378051
"Abkhazia",41.023407,43.0015544
"Kashmir",76.5761714,33.778175
"Rica",-84.9462118,33.7271115
"Northern Great Plains states",-110.6668777,47.8245678
"Bahrain",50.5577,26.0667
"Chad",18.732207,15.454166
"Christmas Island",105.690449,-10.447525
"Cayman islands",-81.2546,19.3133
"Antigua",-61.8175207,17.0746557
"Liberia",-9.429499,6.428055
"Northern Ireland",-6.4923145,54.7877149
"Montserrat",-62.187366,16.742498
"Norfolk Island",167.954712,-29.040835
"Monaco",7.4246158,43.7384176
"Liechtenstein",9.555373,47.166
"North Korea",127.510093,40.339852
"Kerguelen islands",69.5816287,-49.1602433
